match_id,date,season,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,result,player_of_match,umpire1,umpire2
1082591,2017-04-05,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,35,0,normal,Yuvraj Singh,AY Dandekar,NJ Llong
1082592,2017-04-06,2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,0,7,normal,SPD Smith,A Nand Kishore,S Ravi
1082593,2017-04-07,2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,10,normal,CA Lynn,Nitin Menon,CK Nandan
1082594,2017-04-08,2017,Indore,Holkar Cricket Stadium,Punjab Kings,Rising Pune Supergiant,Punjab Kings,field,Punjab Kings,0,6,normal,GJ Maxwell,AK Chaudhary,C Shamshuddin
1082595,2017-04-08,2017,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,15,0,normal,KM Jadhav,S Ravi,VK Sharma
1082596,2017-04-09,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9,normal,Rashid Khan,A Deshmukh,NJ Llong
1082597,2017-04-09,2017,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,0,4,normal,N Rana,Nitin Menon,CK Nandan
1082598,2017-04-10,2017,Indore,Holkar Cricket Stadium,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Punjab Kings,0,8,normal,AR Patel,AK Chaudhary,C Shamshuddin
1082599,2017-04-11,2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,Delhi Capitals,97,0,normal,SV Samson,AY Dandekar,S Ravi
1082600,2017-04-12,2017,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,0,4,normal,JJ Bumrah,Nitin Menon,CK Nandan
1082601,2017-04-13,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,normal,SP Narine,A Deshmukh,NJ Llong
1082602,2017-04-14,2017,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,4,normal,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary
1082603,2017-04-14,2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,0,7,normal,AJ Tye,A Nand Kishore,S Ravi
1082604,2017-04-15,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,0,normal,RV Uthappa,AY Dandekar,NJ Llong
1082605,2017-04-15,2017,Delhi,Feroz Shah Kotla,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,51,0,normal,CJ Anderson,YC Barde,Nitin Menon
1082606,2017-04-16,2017,Mumbai,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,0,6,normal,N Rana,A Nand Kishore,S Ravi
1082607,2017-04-16,2017,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rising Pune Supergiant,Royal Challengers Bengaluru,field,Rising Pune Supergiant,27,0,normal,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin
1082608,2017-04-17,2017,Delhi,Feroz Shah Kotla,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,0,4,normal,NM Coulter-Nile,Nitin Menon,CK Nandan
1082609,2017-04-17,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,5,0,normal,B Kumar,AY Dandekar,A Deshmukh
1082610,2017-04-18,2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions,field,Royal Challengers Bengaluru,21,0,normal,CH Gayle,S Ravi,VK Sharma
1082611,2017-04-19,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15,0,normal,KS Williamson,CB Gaffaney,NJ Llong
1082612,2017-04-20,2017,Indore,Holkar Cricket Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,8,normal,JC Buttler,M Erasmus,C Shamshuddin
1082613,2017-04-21,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,4,normal,SK Raina,CB Gaffaney,Nitin Menon
1082614,2017-04-22,2017,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,14,0,normal,MJ McClenaghan,A Nand Kishore,S Ravi
1082615,2017-04-22,2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,0,6,normal,MS Dhoni,AY Dandekar,A Deshmukh
1082616,2017-04-23,2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Punjab Kings,Gujarat Lions,field,Punjab Kings,26,0,normal,HM Amla,AK Chaudhary,M Erasmus
1082617,2017-04-23,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,82,0,normal,NM Coulter-Nile,CB Gaffaney,CK Nandan
